epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,1467.46,0.68384,0.42414,0.98998,0.97347,0.96245,0.99154,0.8431,0.65619,0.35104,0.93858,0.000214046,0.000214046,0.000214046
107,1481.77,0.66481,0.41658,0.98552,0.98698,0.96819,0.99244,0.84922,0.64365,0.35546,0.93368,0.000205723,0.000205723,0.000205723
108,1495.88,0.66685,0.42138,0.97368,0.98153,0.97382,0.98929,0.8443,0.66083,0.37385,0.93832,0.000197532,0.000197532,0.000197532
109,1509.95,0.65458,0.40934,0.98569,0.98125,0.97436,0.98785,0.8481,0.64906,0.37086,0.94225,0.000189475,0.000189475,0.000189475
110,1524.77,0.66523,0.40934,0.96909,0.98789,0.97436,0.98899,0.84479,0.64623,0.36824,0.93497,0.000181557,0.000181557,0.000181557
111,1539,0.662,0.41909,0.97978,0.99084,0.97436,0.98899,0.85246,0.63155,0.35732,0.93192,0.00017378,0.00017378,0.00017378
112,1553.1,0.64825,0.41622,0.9843,0.98969,0.97436,0.99003,0.85112,0.63781,0.35535,0.93132,0.000166149,0.000166149,0.000166149
113,1567.12,0.62067,0.39654,0.9474,0.99326,0.97436,0.99187,0.84957,0.63552,0.34469,0.93245,0.000158667,0.000158667,0.000158667
114,1581.18,0.62802,0.40186,0.96828,0.99511,0.96069,0.99085,0.83947,0.65076,0.35246,0.93576,0.000151336,0.000151336,0.000151336
115,1595.19,0.63717,0.39813,0.9619,0.98294,0.97436,0.98996,0.84867,0.6477,0.34996,0.93873,0.000144161,0.000144161,0.000144161
116,1609.3,0.65227,0.40186,0.96199,0.9822,0.95839,0.98937,0.84676,0.63247,0.35857,0.93373,0.000137143,0.000137143,0.000137143
117,1623.13,0.64444,0.39834,0.97083,0.97428,0.94963,0.99024,0.84633,0.63777,0.36271,0.92856,0.000130287,0.000130287,0.000130287
118,1636.04,0.64146,0.3865,0.97644,0.97623,0.96245,0.99008,0.84246,0.64485,0.36496,0.93165,0.000123596,0.000123596,0.000123596
119,1648.99,0.63247,0.40753,0.97337,0.97003,0.96245,0.99102,0.84278,0.63099,0.35751,0.92497,0.000117072,0.000117072,0.000117072
120,1662.65,0.62326,0.40202,0.95877,0.98435,0.94963,0.99223,0.85092,0.623,0.34453,0.92503,0.000110718,0.000110718,0.000110718
121,1675.68,0.63731,0.39934,0.97523,0.99458,0.97154,0.99292,0.84825,0.62092,0.33443,0.92802,0.000104537,0.000104537,0.000104537
122,1688.9,0.63203,0.38502,0.95791,0.98587,0.96943,0.99311,0.8581,0.61223,0.33173,0.92181,9.85311e-05,9.85311e-05,9.85311e-05
